,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-n1
2,0.0037837694068622221,0.0035433360815066667,0.00035429583702399999
3,0.0035467814523533333,0.0037402161387966666,0.00047239444936500002
4,0.003500538094584445,0.0036616058033300002,0.00047239444936500002
5,0.0034957092858088892,0.0036262228984300002,0.000460584588131
6,0.0034892433407655559,0.0035514842739833331,0.00044877472689699999
7,0.0034270689024944439,0.0034367610347633333,0.00043865198869599999
8,0.0033769538702588895,0.003303213272853333,0.00043021637352900002
9,0.0032922194734733338,0.0032156156997266666,0.00042318669422299998
10,0.0032100927219277774,0.0031447930313933336,0.00041728176360600002
11,0.0031468598492355557,0.0031679680110633331,0.00041227151944600002
12,0.0030870691314766664,0.0031662029201299999,0.00046165821188000003
13,0.0030386955554522217,0.0031440600660233332,0.00049510572096900002
14,0.0029945065694966665,0.0030999396989066664,0.00052171035341999996
15,0.0029481643819366668,0.0030511355329366665,0.00058374456957299996
16,0.0029356783258600002,0.0030034687109933337,0.00059935045763200002
17,0.0028810233856311112,0.0029350302368733334,0.00061741259834299995
18,0.0028653868937566665,0.0028691241610466667,0.00062985926581999999
19,0.0028502272017111117,0.0028137401220599996,0.00063607498225899998
20,0.0028300749508000001,0.0027642697877866668,0.00063959722157499999
21,0.002814990988123333,0.0027130741063433332,0.00064279387574300005
22,0.0028033615373955559,0.0026648535440666667,0.00064417424913399996
23,0.0027964854049766668,0.0026100906105933335,0.00064417424913399996
24,0.0027850916152388889,0.0025642095120233335,0.00064312396503300002
25,0.0027715782274466668,0.0025307508884366667,0.00066843814585200001
26,0.0027653150252511111,0.0024949132503233333,0.00068896913538199999
27,0.0027465400565677778,0.0024480853168200004,0.00070556350450099998
28,0.0027456610605677773,0.0024157200182933335,0.00071890187036299997
29,0.0027370356812677771,0.0023844112065233331,0.00075309681613699997
30,0.0027318705772800002,0.0023424906613466667,0.00078189426101799996
31,0.0027239418121000002,0.0023069447968099999,0.00080611827004599998
32,0.0027581614046711111,0.0022794564771499996,0.00082645218434799995
33,0.0027848708490266667,0.0022500365706766665,0.00084346565746000002
34,0.0028038056942011115,0.0022204379706399998,0.00085763591208299998
35,0.0028202190719244444,0.00219857416415,0.00086936457488200004
36,0.0028322441481999998,0.0021836731051666663,0.00087899110042599995
37,0.0028379651906644448,0.002167968278746667,0.000886803544022
38,0.0028400108304155553,0.0021504776335633333,0.000893047259184
39,0.0028426013728544445,0.0021273948309399999,0.00089793195942100004
40,0.002839874547446667,0.0021194587351999997,0.00090163748268299996
41,0.0028352466091400002,0.00211099575489,0.00090431852059899998
42,0.0028286765055277776,0.0021000514143033333,0.00090610851698800002
43,0.0028213270772033338,0.0020845185634333335,0.00090712289612300003
44,0.0028125316649144447,0.0020665587472466665,0.00090746174747200002
45,0.0028027778744144447,0.0020575140694433333,0.00090721206753100001
46,0.0027921841852155561,0.0020505645141233333,0.000906449639072
47,0.0027811727482522221,0.0020360760055566662,0.00090524061226600003
48,0.0027680487108766669,0.0020347030797233335,0.00090364283964299995
49,0.0027560119141811111,0.0020306060660633331,0.00090170700698299997
50,0.0027442585062799995,0.0020191970379600001,0.00089947759440399996
51,0.0027321953520377776,0.0020108823333066668,0.00089699369561799995
