,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
2,3053.3333333333335,3001.3333333333335,3091.6666666666665,5087.333333333333,2543.3333333333335,2425.6666666666665,2543.3333333333335,5087.333333333333
3,4756.666666666667,3904.0,3695.6666666666665,10615.0,3657.6666666666665,3263.6666666666665,3657.6666666666665,10615.0
4,5263.666666666667,5892.333333333333,4388.666666666667,13442.0,5631.333333333333,4446.333333333333,5631.333333333333,13442.0
5,6299.666666666667,7960.0,5170.666666666667,16956.0,6009.0,6031.666666666667,6009.0,16956.0
6,6735.0,8655.3333333333339,5745.0,18530.333333333332,7833.666666666667,6610.666666666667,7833.666666666667,18530.333333333332
7,7258.333333333333,9890.0,6314.0,20476.0,8327.3333333333339,8092.333333333333,8327.3333333333339,20476.0
8,7889.333333333333,11116.666666666666,6911.666666666667,22291.666666666668,9249.0,8801.0,9249.0,22291.666666666668
9,8314.6666666666661,11681.0,7817.0,25280.666666666668,10579.666666666666,9211.6666666666661,10579.666666666666,25280.666666666668
10,8607.3333333333339,12996.0,8404.3333333333339,27777.666666666668,12266.0,9979.0,12266.0,27777.666666666668
11,9357.0,15007.666666666666,9553.6666666666661,37182.0,12802.666666666666,12342.0,12802.666666666666,37182.0
12,10458.0,15966.666666666666,9910.6666666666661,40741.333333333336,13246.0,12966.666666666666,13246.0,40741.333333333336
13,11479.0,17111.333333333332,10330.666666666666,42756.0,14622.0,13522.666666666666,14622.0,42756.0
14,12623.0,18098.666666666668,10545.333333333334,45244.333333333336,15241.333333333334,14517.666666666666,15241.333333333334,45244.333333333336
15,13825.666666666666,19200.666666666668,11071.333333333334,50456.0,16068.0,15714.666666666666,16068.0,50456.0
16,14234.333333333334,21365.333333333332,11395.666666666666,54919.333333333336,16703.0,17168.666666666668,16703.0,54919.333333333336
17,15071.333333333334,24264.0,11734.666666666666,56342.666666666664,18202.333333333332,19041.333333333332,18202.333333333332,56342.666666666664
18,15765.666666666666,25106.0,12082.0,58145.333333333336,18857.666666666668,19473.666666666668,18857.666666666668,58145.333333333336
19,17381.666666666668,25873.666666666668,12940.666666666666,60076.0,20559.0,20107.0,20559.0,60076.0
20,18296.333333333332,27691.333333333332,13170.333333333334,62707.0,22384.666666666668,20903.0,22384.666666666668,62707.0
21,18813.666666666668,28056.666666666668,13396.666666666666,64800.333333333336,23659.333333333332,21289.333333333332,23659.333333333332,64800.333333333336
22,19384.666666666668,28867.0,13860.0,68486.333333333328,24035.0,21686.0,24035.0,68486.333333333328
23,21952.0,29953.333333333332,14444.666666666666,71683.0,24876.0,22674.333333333332,24876.0,71683.0
24,22633.666666666668,30768.0,14827.333333333334,74228.666666666672,26588.666666666668,23270.666666666668,26588.666666666668,74228.666666666672
25,23347.333333333332,31361.666666666668,15082.333333333334,77376.0,27185.333333333332,24527.0,27185.333333333332,77376.0
26,24195.0,31936.0,15507.333333333334,81110.333333333328,27978.333333333332,25541.333333333332,27978.333333333332,81110.333333333328
27,25639.666666666668,33575.666666666664,16008.666666666666,82080.666666666672,28208.333333333332,26655.333333333332,28208.333333333332,82080.666666666672
28,26265.0,33906.333333333336,16731.0,83924.666666666672,29122.333333333332,27047.333333333332,29122.333333333332,83924.666666666672
29,26599.333333333332,35264.666666666664,17047.333333333332,86047.333333333328,29469.666666666668,27675.666666666668,29469.666666666668,86047.333333333328
30,26858.333333333332,36001.666666666664,17245.666666666668,88684.666666666672,30357.333333333332,28247.333333333332,30357.333333333332,88684.666666666672
31,27501.333333333332,36577.666666666664,17561.666666666668,90433.333333333328,30836.333333333332,28549.666666666668,30836.333333333332,90433.333333333328
32,27972.333333333332,37024.666666666664,18021.666666666668,91506.333333333328,31326.333333333332,28858.0,31326.333333333332,91506.333333333328
33,28416.0,37437.333333333336,18532.333333333332,95453.333333333328,31628.333333333332,29185.333333333332,31628.333333333332,95453.333333333328
34,29014.666666666668,38921.0,18747.666666666668,97145.333333333328,32379.0,30704.666666666668,32379.0,97145.333333333328
35,29615.333333333332,40334.333333333336,19159.333333333332,99936.0,33032.666666666664,32055.333333333332,33032.666666666664,99936.0
36,30036.0,41217.0,19326.0,105383.0,33694.666666666664,32337.333333333332,33694.666666666664,105383.0
37,30361.333333333332,41487.0,19999.333333333332,108226.0,34381.0,33013.0,34381.0,108226.0
38,31141.0,42035.666666666664,20773.0,117714.0,34870.666666666664,33771.333333333336,34870.666666666664,117714.0
39,31949.333333333332,42716.333333333336,22473.333333333332,120132.0,35511.666666666664,34133.666666666664,35511.666666666664,120132.0
40,32533.0,42967.333333333336,22691.333333333332,123126.33333333333,35731.0,34460.333333333336,35731.0,123126.33333333333
41,34851.0,43822.333333333336,23506.333333333332,124823.0,35944.0,34986.333333333336,35944.0,124823.0
42,35285.333333333336,44613.0,23802.666666666668,129036.66666666667,37067.333333333336,35616.666666666664,37067.333333333336,129036.66666666667
43,35958.0,45158.666666666664,24361.0,131769.0,37414.333333333336,36041.0,37414.333333333336,131769.0
44,36488.333333333336,45827.666666666664,24586.333333333332,133233.33333333334,38266.666666666664,36767.0,38266.666666666664,133233.33333333334
45,37526.666666666664,46431.0,25533.0,136568.33333333334,38538.333333333336,37211.666666666664,38538.333333333336,136568.33333333334
46,38158.0,47219.0,25785.666666666668,138191.0,39352.0,38056.666666666664,39352.0,138191.0
47,38497.0,47778.666666666664,26284.333333333332,139829.66666666666,40378.333333333336,38911.0,40378.333333333336,139829.66666666666
48,39637.666666666664,48946.333333333336,26487.0,141679.33333333334,40948.0,40096.666666666664,40948.0,141679.33333333334
49,40811.333333333336,49730.333333333336,26687.333333333332,142603.0,41352.0,40382.0,41352.0,142603.0
50,41426.333333333336,50287.666666666664,26993.666666666668,146621.0,41743.666666666664,40917.333333333336,41743.666666666664,146621.0
51,41594.0,51298.666666666664,27684.333333333332,148562.33333333334,42775.333333333336,41438.333333333336,42775.333333333336,148562.33333333334
